read_date,gsc_data_range,gsc_last_updated,domain,clicks,impressions,ctr,average_position,main_queries,source
2026-07-15,2026-06-21_to_2026-07-13,4h_ago,pkplus17apk.com,0,1,0%,7,no_reliable_query_data,Google Search Console
2026-07-15,2026-06-21_to_2026-07-13,4h_ago,pkplus17game.com,0,1,0%,4,no_reliable_query_data,Google Search Console
2026-07-15,2026-06-21_to_2026-07-13,4h_ago,pkplus17download.com,0,1,0%,6,no_reliable_query_data,Google Search Console
2026-07-15,2026-06-21_to_2026-07-13,4h_ago,pkplus17guide.com,1,3,33.3%,4,no_reliable_query_data,Google Search Console
2026-07-15,2026-06-21_to_2026-07-13,4h_ago,pkplus17pakistan.com,0,6,0%,39.5,pk17: 0 clicks / 2 impressions,Google Search Console
2026-07-16,2026-06-21_to_2026-07-14,3.5h_ago,pkplus17apk.com,0,1,0%,7,no_reliable_query_data,Google Search Console
2026-07-16,2026-06-21_to_2026-07-14,3.5h_ago,pkplus17game.com,0,1,0%,4,no_reliable_query_data,Google Search Console
2026-07-16,2026-06-21_to_2026-07-14,3.5h_ago,pkplus17download.com,0,1,0%,6,no_reliable_query_data,Google Search Console
2026-07-16,2026-06-21_to_2026-07-14,3.5h_ago,pkplus17guide.com,1,3,33.3%,4,no_reliable_query_data,Google Search Console
2026-07-16,2026-06-21_to_2026-07-14,3.5h_ago,pkplus17pakistan.com,0,6,0%,39.5,pk17: 0 clicks / 2 impressions,Google Search Console
2026-07-17,2026-06-21_to_2026-07-15,3.5h_ago,pkplus17apk.com,0,1,0%,7,no_reliable_query_data,Google Search Console
2026-07-17,2026-06-21_to_2026-07-15,3.5h_ago,pkplus17game.com,0,1,0%,4,no_reliable_query_data,Google Search Console
2026-07-17,2026-06-21_to_2026-07-15,3.5h_ago,pkplus17download.com,0,1,0%,6,no_reliable_query_data,Google Search Console
2026-07-17,2026-06-21_to_2026-07-15,3.5h_ago,pkplus17guide.com,1,3,33.3%,4,no_reliable_query_data,Google Search Console
2026-07-17,2026-06-21_to_2026-07-15,3.5h_ago,pkplus17pakistan.com,0,6,0%,39.5,pk17: 0 clicks / 2 impressions,Google Search Console
2026-07-18,2026-06-21_to_2026-07-16,3.5h_ago,pkplus17apk.com,0,1,0%,7,no_reliable_query_data,Google Search Console
2026-07-18,2026-06-21_to_2026-07-16,3.5h_ago,pkplus17game.com,0,2,0%,5,no_reliable_query_data,Google Search Console
2026-07-18,2026-06-21_to_2026-07-16,3.5h_ago,pkplus17download.com,0,1,0%,6,no_reliable_query_data,Google Search Console
2026-07-18,2026-06-21_to_2026-07-16,3.5h_ago,pkplus17guide.com,1,3,33.3%,4,no_reliable_query_data,Google Search Console
2026-07-18,2026-06-21_to_2026-07-16,3.5h_ago,pkplus17pakistan.com,0,6,0%,39.5,pk17: 0 clicks / 2 impressions,Google Search Console
2026-07-19,2026-06-21_to_2026-07-17,3h_ago,pkplus17apk.com,0,1,0%,7,no_reliable_query_data,Google Search Console
2026-07-19,2026-06-21_to_2026-07-17,3h_ago,pkplus17game.com,0,2,0%,5,no_reliable_query_data,Google Search Console
2026-07-19,2026-06-21_to_2026-07-17,3h_ago,pkplus17download.com,0,1,0%,6,no_reliable_query_data,Google Search Console
2026-07-19,2026-06-21_to_2026-07-17,3h_ago,pkplus17guide.com,1,3,33.3%,4,no_reliable_query_data,Google Search Console
2026-07-19,2026-06-21_to_2026-07-17,3h_ago,pkplus17pakistan.com,0,6,0%,39.5,pk17: 0 clicks / 2 impressions,Google Search Console
2026-07-20,2026-06-21_to_2026-07-18,3h_ago,pkplus17apk.com,0,1,0%,7,no_reliable_query_data,Google Search Console
2026-07-20,2026-06-21_to_2026-07-18,3h_ago,pkplus17game.com,0,2,0%,5,no_reliable_query_data,Google Search Console
2026-07-20,2026-06-21_to_2026-07-18,3h_ago,pkplus17download.com,0,1,0%,6,no_reliable_query_data,Google Search Console
2026-07-20,2026-06-21_to_2026-07-18,3h_ago,pkplus17guide.com,1,3,33.3%,4,no_reliable_query_data,Google Search Console
